Product Name,Price,Ratings,Date
"Ncert Physics Part 1 Class 12
            
            (Paperback, NCERET)",139,4.3,2022-12-10
"Ncert Physics Part 1 Class 12
            
            (Paperback, NCERET)",139,4.3,2022-12-10
